latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
31.070919,-83.07101,017,039,1761,1047,2025-07-17,1601,L9,low,D
31.070924,-83.070696,017,039,1762,1047,2025-07-17,1601,L9,high,D
31.070929,-83.070382,017,039,1763,1047,2025-07-17,1601,L9,high,D
31.070658,-83.070376,017,039,1763,1048,2025-07-17,1601,L9,low,D
30.052254,-83.019923,017,039,1856,4814,2025-07-17,1601,L9,high,D
30.792322,-82.993226,017,039,1990,2081,2025-07-17,1601,L9,high,D
30.792051,-82.99322,017,039,1990,2082,2025-07-17,1601,L9,high,D
30.792327,-82.992913,017,039,1991,2081,2025-07-17,1601,L9,high,D
30.792056,-82.992907,017,039,1991,2082,2025-07-17,1601,L9,high,D
30.791785,-82.992901,017,039,1991,2083,2025-07-17,1601,L9,low,D
30.792075,-82.991653,017,039,1995,2082,2025-07-17,1601,L9,high,D
30.791805,-82.991648,017,039,1995,2083,2025-07-17,1601,L9,high,D
30.791534,-82.991642,017,039,1995,2084,2025-07-17,1601,L9,high,D
30.792085,-82.991027,017,039,1997,2082,2025-07-17,1601,L9,high,D
30.791814,-82.991021,017,039,1997,2083,2025-07-17,1601,L9,high,D
30.791544,-82.991015,017,039,1997,2084,2025-07-17,1601,L9,high,D
30.79209,-82.990713,017,039,1998,2082,2025-07-17,1601,L9,high,D
30.791819,-82.990708,017,039,1998,2083,2025-07-17,1601,L9,high,D
30.791549,-82.990702,017,039,1998,2084,2025-07-17,1601,L9,high,D
30.18335,-82.977733,017,039,2000,4332,2025-07-17,1601,L9,high,D
30.183355,-82.977422,017,039,2001,4332,2025-07-17,1601,L9,high,D
30.047228,-82.88449,017,039,2291,4840,2025-07-17,1601,L9,high,D
30.046957,-82.884485,017,039,2291,4841,2025-07-17,1601,L9,low,D
30.047503,-82.884184,017,039,2292,4839,2025-07-17,1601,L9,high,D
30.047232,-82.884179,017,039,2292,4840,2025-07-17,1601,L9,high,D
30.047507,-82.883873,017,039,2293,4839,2025-07-17,1601,L9,high,D
30.047237,-82.883868,017,039,2293,4840,2025-07-17,1601,L9,low,D
30.169866,-82.882458,017,039,2305,4387,2025-07-17,1601,L9,high,D
30.169596,-82.882453,017,039,2305,4388,2025-07-17,1601,L9,high,D
30.009745,-82.874762,017,039,2320,4979,2025-07-17,1601,L9,medium,D
30.009474,-82.874757,017,039,2320,4980,2025-07-17,1601,L9,high,D
30.009749,-82.874451,017,039,2321,4979,2025-07-17,1601,L9,medium,D
